ABT,ADSK,AEP,AFL,AIG,AMAT,AON,APA,APD,ARNC,AVY,BAC,BAX,BBT,BCR,BDX,BHI,BK,C,CA,CAG,CCL,CLX,CMA,CPB,CSX,CTL,CVX,D,DOW,DUK,ED,EIX,ETR,EXC,FDX,FITB,GD,GE,GIS,GLW,HAS,HBAN,HES,HPQ,HRB,IBM,INTC,JNJ,JPM,K,KMB,KO,KR,L,LLY,LMT,MCD,MDT,MMC,MRK,MUR,NEE,NEM,NSC,NTRS,NUE,ORCL,OXY,PAYX,PCAR,PCG,PEG,PEP,PFE,PG,PHM,PNC,PPL,R,RTN,SCHW,SEE,SLB,SO,STI,STT,SYY,T,TAP,TGT,TXT,USB,VNO,WFC,WMT,XEL,XOM,XRX,ZION,FFY,^GSPC,risk-free
0.01363634,0.001881648,0.05527263,-0.103649726,-0.035913978,0.009058817,-0.008652001,0.193041917,0.030413664,-0.079015567,0.053681264,0.035545047,0.043162415,0.057393869,0.022511127,-0.018297376,0.106157094,0.039755263,0.053862204,0.037805093,0.034828007,0.075450039,0.000759033,0.124895319,0.019106131,-0.062834169,-0.029585824,0.054111339,0.028229184,-0.090283799,0.086030441,0.045054405,0,0.059891561,0.073301995,0.131269048,0.024412867,-0.04221289,0.045680758,0.05390067,-0.054082782,-0.013373941,0.071939251,0.081323143,-0.062367286,0.12635683,0.046457308,-0.037048334,0.014592238,-0.036320329,0.020684988,0.033047462,0.004046089,-0.175750337,-0.025514636,-0.049957588,0.004736228,-0.013785411,0.083121864,0.004487186,-0.127588405,0.168683214,0.018050486,-0.026994709,-0.054667299,0.044105746,0.073832547,-0.015680637,0.071218732,-0.004570159,0.082513414,0.051366207,0.054224548,0.004237828,-0.079889229,0.021559408,0.13912048,-0.030198415,-0.012939302,0.080487806,-0.002893524,0.077298105,-0.110675403,0.148708655,0.11428575,-0.00885236,0.000394693,0.066287131,0.047886558,-0.063650647,0.093500295,0.054516626,0.112941118,0.066574805,0.015654245,0.044828878,0.029439415,0.050802036,0.24047621,0.089063805,0.0012,0.007573834,0.004099621
-0.062573471,-0.221628135,0.04810992,-0.018072236,-0.004411708,-0.019559923,0.014503659,-0.028571465,-0.009592294,-0.035460866,0.065476256,-0.022304806,-0.060790258,-0.01033476,-0.068586964,0.033797246,-0.03680983,-0.089821062,-0.04941173,0.301775081,-0.01577283,-0.0312501,0.012542766,-0.075601443,0.048539426,-0.004457634,-0.045267482,-0.041025685,0.056478442,-0.07885914,0.031700263,0,-0.028571487,0.090909203,0.021833982,-0.010542095,0.172113454,0.016441581,-0.007842945,0.037780835,-0.087336265,-0.020079831,0.061111343,-0.071979082,0.110944458,0.085526397,0.029100573,0.162847541,0.099494088,-0.058003017,-0.001727154,0.081936899,0.041666769,-0.021978001,0.002564047,0.075104214,0.013035388,0.071895487,0.070767029,-0.059581509,0.026785719,-0.053125375,0.024464847,-0.111764677,0.0334446,0.038043592,0.075419029,0.136807704,-0.017142693,-0.060298298,-0.106950675,-0.020833374,-0.012605178,0.031862781,0.074941489,0.057234117,0.114534479,-0.046791743,-0.037433199,-0.049261097,0.031005858,-0.209882188,-0.043083907,-0.047801149,0.015957447,-0.024574741,-0.02500001,0.118764125,0.02359422,-0.013793002,-0.093904388,0.007326053,0.035046466,-0.043333284,-0.092307778,-0.126262565,0.041322316,0.057093427,-0.035348885,0.130612233,0.0153,-0.004979335,0.004869921
0.018726972,-0.150652593,-0.053718954,0.134020641,0.032962404,0.135593382,-0.032028463,-0.158730171,-0.125000026,0.051184799,0.068604694,0.039934786,0.110336879,0.044142341,0.069101816,0.064412244,-0.273338431,0.055883057,0.11137529,-0.401574774,-0.178568669,-0.066246063,0.078543749,0.018903626,0.020490447,-0.111263799,0.084468732,-0.013432828,0,-0.061409236,-0.03586505,-0.081411156,-0.061310761,-0.047826144,0.025695922,-0.032868515,-0.011904755,0.027764875,-0.012560825,-0.085446822,-0.116906385,-0.077469297,-0.006716552,-0.066743709,-0.073068877,0.008902072,0.154055517,0.139123097,0.043918877,0.006454786,-0.117744668,-0.020435924,-0.058479478,0.103498616,-0.071748915,0.01509443,-0.058441531,-0.031702875,-0.028431386,0.017107874,-0.076168188,-0.125771116,-0.034722231,-0.199921972,0.002096432,-0.034426211,-0.054347755,0.078880388,-0.175926,-0.004685519,-0.143540474,-0.035643498,-0.050816747,-0.054628205,0.010350826,-0.12552188,-0.052301871,0.007864896,0.022038519,-0.081188121,-0.064482045,0.149425107,0.088435465,-0.113449244,-0.067014546,-0.102229085,-0.000899265,-0.073170738,0.029436388,0.109373492,-0.014175236,0.030514404,0.090019606,-0.089763709,-0.041666659,0.039094634,-0.06934662,-0.015761808,0.038745342,-0.075227106,0.0076,-0.011615327,0.004466938
0.009469535,0.018050473,0.007241041,0.017136903,0.018072281,0.21621645,-0.033898268,0.060150415,0.005333394,0.003231036,0.054040524,-0.026178123,0.033445031,0.145160944,0.040609165,-0.001779346,0.145454427,0.05660385,-0.055384746,-0.04132229,0.00975625,-0.02090494,-0.030612221,0.008298682,-0.007220161,0.068033948,-0.138297818,0.035523708,0.019362243,-0.018108714,0.008884473,0.030723591,0.020527841,0.036867799,-0.016451907,-0.063218467,-0.005847947,-0.01147223,-0.003262483,-0.007812506,0.010169452,0.145631376,0.047120213,0.076023194,-0.05000006,-0.019304848,0.013128697,-0.065420223,0.026048639,0.039146493,0.038280982,0.036036378,0.060241076,0.028985476,0.045721684,-0.032113462,-0.02635478,0.058690636,0.190839913,-0.00160739,0.042241348,0.008259349,0.021143429,0.132664296,0.020931054,-0.004183514,0.17280563,0.072070686,0.060240821,0.052082415,0.071007982,0.036290404,0.066985542,0,0.049096995,-0.004842559,0.047058529,-0.028436137,0.03482589,0.010747393,-0.037837871,0.013157569,0.03465368,0.063266774,0.026615823,0.043004257,0.053191603,0.02813213,-0.034068144,0.088392854,0.114915758,-0.006920444,0.014634864,0.032613196,-0.02909644,0.014353995,0.006153858,0.022819737,0.011804346,0.044999991,-0.0027,0.000963957,0.005912243
-0.043298461,-0.004368113,0.049633918,0.042051771,0.036144583,0.142150758,0.021969535,0.060094561,-0.008955192,0.073478801,0.070052833,-0.044069358,0.058490595,0.055932467,0.006176608,0.055269638,0.105160302,0.076749448,-0.049632358,-0.001091688,-0.007774416,-0.039413376,0.007462863,0.057093422,0.002599916,0.067510502,-0.007507984,0.037374741,0.006404115,0.076802209,-0.006390801,0.028181066,0.008138164,0.031634725,0.042664972,0.038020003,0.046878821,0.051579354,-0.004329027,0.013036983,0.146209277,0.059704178,0.033140135,0.10656301,0.047213942,-0.023821756,0.124797798,0.043043804,-0.015999976,0.004574023,0.019577019,0.018693051,0.048143691,0.043089971,0.079097073,0.010949577,-0.038076209,0.123243228,0.041513759,0.052306572,0.008441488,0.015508228,0.025202009,-0.03791945,0.201873412,0.114279326,0.215475601,0.028030251,0.069543672,0.07751274,0.062058962,0.002397449,0.05721809,0.011125543,-0.039158896,0.060005444,0.111216696,0.015761344,0.037049511,0.065300582,0.005368186,0.214539024,0.065675835,0.102712645,0.019992627,0.006644529,0.030880869,-0.00359205,0.043458647,0.011290329,0.07976476,-0.022149031,0.02945203,0.102487425,-0.003897387,0.02385881,-0.00563532,0.02227243,-0.042059354,-0.027879734,0.0013,0.035968287,0.003503367
-0.041336848,0.044755207,-0.135748232,0.075365204,-0.064477092,-0.08135069,0.002117584,0.096872782,-0.030409329,-0.132133485,-0.024394244,0.006899618,0.006428584,-0.085805611,-0.019094125,0.068751979,-0.059956441,0.063607452,-0.018347813,-0.009629749,-0.009248478,-0.03406812,-0.068184639,-0.063367332,0.021303788,-0.009890674,0.032334953,-0.03128766,-0.012932669,-0.021548907,-0.128454444,-0.067725326,0.040506355,-0.025005472,-0.034868301,-0.029878286,-0.088812969,-0.163492887,-0.049691985,-0.037366802,0.232628605,0.041549785,0.013896358,-0.142597815,0.002880164,-0.057462677,0.009032225,0.005780341,-0.001861857,-0.013524861,-0.025386584,-0.024225885,-0.077098586,-0.023300892,-0.009896765,-0.051338597,-0.116017297,-0.114427829,-0.014912259,-0.071848499,-0.021550912,-0.015169502,-0.028937361,-0.002755717,-0.01450711,-0.028245293,-0.033656212,0.113888837,0.026713499,-0.09362512,-0.060914597,-0.007194266,0.09906547,-0.04121268,-0.002043855,0.000463706,0.044077794,0.062363185,0.009227168,0.004010814,-0.021463459,-0.150230397,0.011260042,-0.104300323,0.004127263,-0.004743469,0.015128241,-0.014098688,-0.090376722,-0.017142839,-0.059666721,-0.10304724,-0.005654952,-0.053982908,0.010667826,-0.053652776,0.001818179,-0.022610048,0.099378798,0.052872334,-0.0035,-0.027414693,0.00325364
0.005758007,-0.03739827,0.041614076,0.108401067,0.079499551,-0.087121305,0.108747073,-0.043874872,0.076600388,0.046468447,0.074042988,0.018762638,0.001745326,0.175458717,0.045929083,-0.027601216,0.041791065,0.075581322,0.058967996,0.018812182,-0.079861138,0.024277441,0.018444249,0.06445767,0.041638223,0.03225802,0.083566602,-0.039750617,0.094855319,0.036960707,0.064903897,0.08072486,0.023246236,0.151442306,-0.002570765,-0.089468772,0.162822907,-0.002873543,-0.002542363,-0.03209462,-0.121223358,0.083870958,0.064573047,-0.017314639,0.022785347,0.098080338,-0.04452054,-0.095008033,0.046673332,0.006896545,0.070080845,-0.048418691,0.067000054,0.067150644,0,0.105158641,0.008962881,-0.015463947,0.099476498,0.001679384,0.123125209,-0.014772738,0.058100562,-0.019865408,-0.041257396,0.123853551,-0.031656699,-0.330206475,-0.002303185,0.234755953,-0.045454869,0.084398616,0.110259219,-0.013505879,0.02491405,0.047579983,0.032362847,0.058071942,0.037265579,-0.098106724,-0.093567321,0.087520279,0.085714257,-0.019492465,0.078125003,0.005281622,-0.019984158,0.026361354,0.008605886,-0.076388919,0.015992499,0.061219751,0.066258133,0.047419861,0.035058436,-0.013955181,0.074396246,0.003073723,-0.045249903,0.133798832,0.0036,0.015731598,0.00466113
0.001503842,0.153007867,-0.026936015,-0.021929723,0.055555535,0.138709986,0.012919784,0.069518785,0.121468862,0.146515676,-0.029787188,0.035714236,-0.025640741,0.027560824,0.168820759,0.031468455,0.00625,-0.003331632,0.083601375,-0.078125033,0.001940189,0.044854877,-0.040140182,0.05633806,-0.048379111,0.120610874,0.058252436,0.071735968,-0.046831957,0.118942577,-0.008849596,-0.027237328,-0.024999872,0.034722158,-0.045454648,0.072310426,-0.028985529,0.005218608,0.02741374,-0.015152758,0.147321506,-0.070809459,0.010582472,0.074792341,0.079113971,0.076687066,0,0.053229134,-0.055710408,-0.015576179,-0.052863419,0.096385522,-0.08403361,0.105590222,0.068614332,0.008421068,-0.049450628,0.065789428,0.024953813,0.012307267,0.06181817,0.034375227,-0.057508003,-0.069414381,0.051286558,0.085173536,0.113207459,0.117390763,0.058823255,0.144565259,-0.000382918,-0.035587146,-0.011718741,-0.012232431,-0.063405702,0.049567802,-0.041379501,0.032659261,-0.064814709,0.014150949,0.031987817,-0.086547303,-0.023715492,0.004228356,-0.014164266,0.024999989,0.01333336,-0.065260417,0.018286481,-0.023076968,-0.013133448,0.015021415,-0.007142782,0.04477625,0.089881257,0.060000061,0.011594108,0.053465309,0.097901974,0.013513476,0.0211,0.032500745,0.004581126
0.120741757,-0.124211144,0.030201279,0.021489866,-0.009334207,-0.085531078,0.060124257,-0.06894941,0.087927408,0.04605149,0.042981989,0.068071329,0.083488779,0.020609919,0.282663078,0.061205646,0.006041354,0.08784857,0.045619298,-0.118981003,0.012613905,0.069182375,0.088281394,0.106358218,-0.029566341,0.069114499,0.048218166,0.00154233,-0.022348139,0.070553083,-0.016125414,0.062199413,0.099492295,0.07473868,-0.011749577,-0.049203756,0.095052075,0.005708269,0.009684743,0.074854067,-0.136091728,0.224489867,-0.005972126,-0.021257092,0.03130496,0.0843636,-0.027833829,-0.125625221,0.008477282,0.02438519,0.058119672,0.017676707,0.026196267,0.104028344,0.023438831,-0.000236358,0.092160926,0.10109096,-0.036322821,0.087722954,-0.034747479,0.030116991,-0.01805685,0.123971544,0.126579256,0.017222893,0.009659049,-0.053217699,-0.004980106,0.111979115,-0.004306023,0.270902806,0.107019854,0.021684483,-0.006926549,0.069775177,-0.136383038,0.064238563,0.085636295,0.114826972,0.008127248,-0.049999786,0.069845313,-0.049321285,0.021235966,-0.026306579,0.05935634,0.057254584,0.043636306,0.002137811,-0.015491343,0.086571179,0.052880115,0.036082874,0.007449394,0.000193269,-0.02884618,0.006629764,0.096238779,0.01974282,0.0026,0.005090187,0.004402645
-0.005783439,0.103999827,0.019920378,0,0.053445886,0.112299371,-0.058069627,0.113861401,0.021390324,0.010648473,-0.02181822,0.010204074,-0.075555546,0.010101041,-0.014024259,-0.020725463,0.100671188,0.087171905,0.057034214,0.124293699,-0.005337037,0.037036995,0.045219195,-0.004504633,0.044303851,0.058394109,0.038961013,0.081080986,-0.00335577,-0.060702913,0.016025572,0,0.077669917,0.005376243,0.004926184,-0.018181799,0,-0.023639843,0.015584484,-0.020164016,0.050192954,0.116291891,-0.034483195,0.069892247,0.12017151,-0.032697452,0.070017878,0.011192257,0.055555613,0.085714258,0.023965181,-0.123404188,0.035989727,-0.018779326,0.001395019,0.07127422,0.034111301,0.094786732,-0.009859376,-0.030964075,0,0.094828314,0.023166104,-0.080555576,0.019636292,-0.023530409,-0.113105924,0.069767767,0.041666582,-0.004201153,-0.017833473,-0.005494493,0,0.05660378,0.072333011,0.060422087,-0.051725959,-0.079210842,-0.024999992,-0.082926799,1.08E-07,0.19660465,0.058139492,0.082758517,0.067114195,0.038461504,-0.085616522,-0.015955739,-0.005266382,-0.067567595,0.013071907,0.002456949,-0.03658648,-0.080292529,-0.00171546,0.005347695,0.050295927,0.093478226,-0.039812566,-0.047468481,0.0181,0.020833816,0.006273139
